thigh_joint_torque,leg_joint_torque,foot_joint_torque,thigh_left_joint_torque,leg_left_joint_torque,foot_left_joint_torque,thigh_joint_position,leg_joint_position,foot_joint_position,thigh_left_joint_position,leg_left_joint_position,foot_left_joint_position,thigh_joint_velocity,leg_joint_velocity,foot_joint_velocity,thigh_left_joint_velocity,leg_left_joint_velocity,foot_left_joint_velocity,time
29.98892307281494,29.98892307281494,8.996676921844482,29.98892307281494,29.98892307281494,8.996676921844482,0.0,-0.05781641792474425,0.058818531758390157,-0.027225859217525048,3.11911568925943e-05,0.029933050167250896,0.0,-0.05781641792474425,0.058818531758390157,-0.027225859217525048,3.11911568925943e-05,0.029933050167250896,0.0165
40.0,40.0,12.0,40.0,40.0,12.0,0.0,-0.16101329580556598,0.1679519846909788,-0.05258100495370381,-0.05280618203812502,0.13084137066067897,0.0,-0.16101329580556598,0.1679519846909788,-0.05258100495370381,-0.05280618203812502,0.13084137066067897,0.033
40.0,40.0,12.0,40.0,40.0,12.0,-0.029175891955011427,-0.2265714096699419,0.2609041915512349,-0.11594176512062711,-0.05426874062484257,0.2193427185068331,-0.029175891955011427,-0.2265714096699419,0.2609041915512349,-0.11594176512062711,-0.05426874062484257,0.2193427185068331,0.0495
33.02469253540039,33.02469253540039,9.907407760620117,33.02469253540039,33.02469253540039,9.907407760620117,-0.00843090975817627,-0.32636102938525013,0.3494274456361332,-0.14256503810748392,-0.0675448811116998,0.33021809058904705,-0.00843090975817627,-0.32636102938525013,0.3494274456361332,-0.14256503810748392,-0.0675448811116998,0.33021809058904705,0.066
36.02484941482544,36.02484941482544,10.807454824447632,36.02484941482544,36.02484941482544,10.807454824447632,-0.026866428526450666,-0.3986469757829026,0.3782997822361542,-0.20876355922272521,-0.05504824711331441,0.41532543592672616,-0.026866428526450666,-0.3986469757829026,0.3782997822361542,-0.20876355922272521,-0.05504824711331441,0.41532543592672616,0.0825
24.786570072174072,24.786570072174072,7.435971021652222,24.786570072174072,24.786570072174072,7.435971021652222,-0.08176534149964763,-0.43482757986774045,0.3664649396354676,-0.3084829945046912,-0.014461405798548878,0.47434843394184506,-0.08176534149964763,-0.43482757986774045,0.3664649396354676,-0.3084829945046912,-0.014461405798548878,0.47434843394184506,0.099
40.0,40.0,12.0,40.0,40.0,12.0,-0.09781789433620515,-0.5134406045634435,0.3616811642721519,-0.377480713149372,0.0002664177519280716,0.5472185333310429,-0.09781789433620515,-0.5134406045634435,0.3616811642721519,-0.377480713149372,0.0002664177519280716,0.5472185333310429,0.1155
40.0,40.0,12.0,40.0,40.0,12.0,-0.07850801635878907,-0.6326128737045742,0.3313276041334393,-0.41778375506577636,-0.01063869771345076,0.6084232278785949,-0.07850801635878907,-0.6326128737045742,0.3313276041334393,-0.41778375506577636,-0.01063869771345076,0.6084232278785949,0.132
40.0,40.0,12.0,40.0,40.0,12.0,-0.024033385717000443,-0.7578606755643342,0.29277455003440445,-0.42327874248860414,-0.030062080394129272,0.6491054445186176,-0.024033385717000443,-0.7578606755643342,0.29277455003440445,-0.42327874248860414,-0.030062080394129272,0.6491054445186176,0.14850000000000002
40.0,40.0,12.0,40.0,40.0,12.0,0.003549015364681616,-0.8462177446707678,0.27540844949755217,-0.434972907984478,-0.06063833214967756,0.6663253119272685,0.003549015364681616,-0.8462177446707678,0.27540844949755217,-0.434972907984478,-0.06063833214967756,0.6663253119272685,0.16500000000000004
40.0,40.0,12.0,40.0,40.0,12.0,0.00145367669337359,-0.8982777759233923,0.29342071726122243,-0.44312171011762785,-0.13630734820261908,0.6793386564829484,0.00145367669337359,-0.8982777759233923,0.29342071726122243,-0.44312171011762785,-0.13630734820261908,0.6793386564829484,0.18150000000000005
40.0,40.0,12.0,40.0,40.0,12.0,-0.014603212075215942,-0.9201093249001345,0.3090586472828924,-0.474399757183569,-0.17044063917527524,0.6746990191454341,-0.014603212075215942,-0.9201093249001345,0.3090586472828924,-0.474399757183569,-0.17044063917527524,0.6746990191454341,0.19800000000000006
40.0,40.0,12.0,40.0,40.0,12.0,-0.05690091899843163,-0.9089066092933773,0.28600439148612294,-0.560592068841814,-0.10872179800570689,0.6452883450563262,-0.05690091899843163,-0.9089066092933773,0.28600439148612294,-0.560592068841814,-0.10872179800570689,0.6452883450563262,0.21450000000000008
14.509044885635376,14.509044885635376,4.352713465690613,14.509044885635376,14.509044885635376,4.352713465690613,-0.04120331736593137,-0.9071879211414355,0.26107959248452883,-0.5719555242945961,-0.09464470648404646,0.6555133197417234,-0.04120331736593137,-0.9071879211414355,0.26107959248452883,-0.5719555242945961,-0.09464470648404646,0.6555133197417234,0.2310000000000001
40.0,40.0,12.0,40.0,40.0,12.0,0.012061029269818278,-0.9050763265901057,0.25746904264717685,-0.5423969331539266,-0.09200274955224436,0.6953528843845659,0.012061029269818278,-0.9050763265901057,0.25746904264717685,-0.5423969331539266,-0.09200274955224436,0.6953528843845659,0.2475000000000001
40.0,40.0,12.0,40.0,40.0,12.0,0.004940197588917566,-0.8831571380309553,0.26900207641166946,-0.5889117900552031,-0.04114477736539075,0.6932942723604139,0.004940197588917566,-0.8831571380309553,0.26900207641166946,-0.5889117900552031,-0.04114477736539075,0.6932942723604139,0.2640000000000001
21.04823112487793,21.04823112487793,6.314469337463379,21.04823112487793,21.04823112487793,6.314469337463379,0.0020235049324206344,-0.8583233233358675,0.27321637543954513,-0.6042297494947587,-0.05049822975503803,0.6956693868566012,0.0020235049324206344,-0.8583233233358675,0.27321637543954513,-0.6042297494947587,-0.05049822975503803,0.6956693868566012,0.28050000000000014
